DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
30-04-21,97,101.4,96.15,98.85,4388724,20489
29-04-21,98.9,100.2,97.45,97.7,3606525,16428
28-04-21,98.9,99.1,97.7,98,1476720,5693
27-04-21,97.45,98.55,96.6,98,1285251,4668
26-04-21,95.75,97.05,95.5,96.3,1235955,4822
23-04-21,94.2,96.85,93.4,95.65,3738662,14516
22-04-21,93.3,94.95,92.55,94.3,1467245,5512
20-04-21,95.6,96,92.3,93.5,1805542,6309
19-04-21,93.3,94.95,91.8,93.55,2443729,8826
16-04-21,95.2,97.95,94.05,97.15,2387053,8087
15-04-21,95,96.7,93.3,94.05,2257630,8094
13-04-21,92.75,96.3,91.6,95.8,5018997,14943
12-04-21,101.4,101.4,89.95,92.2,7940870,30715
09-04-21,105.65,106.15,103.05,104.05,1901006,6674
08-04-21,105,106.7,104.2,104.9,2071623,6064
07-04-21,104.1,105.6,101.75,104.1,1889305,6780
06-04-21,103.6,107.25,102.35,104.65,3336166,9318
05-04-21,105.3,105.5,100.5,103.35,3158517,10253
01-04-21,104.2,105.5,103.45,105.05,1927846,5346
31-03-21,103.5,105.8,102.8,103.2,2071493,7975
30-03-21,105.4,105.45,102.8,103.5,2625657,7700
26-03-21,100.55,104.3,100.1,103.45,4427665,12217
25-03-21,101.4,102.25,96.55,98.6,4314483,16688
24-03-21,103.3,105.65,100.8,101.25,3384961,9869
23-03-21,105,106,104,104.35,2786915,7911
22-03-21,105.25,106.5,103.8,104.75,6602868,27796
19-03-21,100.3,104.75,96.3,104.2,6388456,20905
18-03-21,105,106.55,96,100.5,10610248,51172
17-03-21,109.85,110.55,102.5,103.4,3127373,13726
16-03-21,112.15,112.4,109.15,109.65,4329946,20509
15-03-21,114.95,114.95,108,111.55,7180052,23213
12-03-21,108.7,114.45,107,113.25,14264013,58623
10-03-21,109,109.3,105.85,107.4,3718024,17015
09-03-21,110.2,110.7,104.7,107.05,7014816,24721
08-03-21,109,111.9,108.25,109.05,3397852,13711
05-03-21,111,111,104,107.3,7715904,39194
04-03-21,104.6,114,102.8,109.35,9239193,29952
03-03-21,104.75,105.5,102.5,105.25,6809879,33606
02-03-21,100.45,100.8,98,100.4,3783572,11407
01-03-21,97,99.55,95.65,97.8,4133060,11742
26-02-21,95,96.45,93,95.1,6827744,22338
25-02-21,94.7,97.6,94.45,96.05,6679096,16300
24-02-21,92.9,94.5,89.1,93.9,5910232,20536
23-02-21,90.05,93.3,89.8,92,3443604,7781
22-02-21,91,92.5,89,90,3657308,18651
19-02-21,93.15,94.85,89.4,91.15,10151087,13407
18-02-21,92,94.05,90.3,93.1,2424159,7030
17-02-21,90.55,92.45,89.9,91.1,3605240,10123
16-02-21,87.4,91,86.65,90.25,2508082,6974
15-02-21,88.2,88.9,86.35,86.65,1364364,5467
12-02-21,87.8,88.4,86.05,87.3,1018307,3388
11-02-21,88.5,89.25,87.5,87.75,1834067,8603
10-02-21,88.25,89.95,86.45,88.2,2502611,6848
09-02-21,90.05,90.35,86.4,87.15,1736875,6691
08-02-21,87.6,91.65,87.6,90,3650025,9759
05-02-21,91,91.5,85,87.4,7665636,36614
04-02-21,85.2,90.6,84.55,89.65,5313859,17409
03-02-21,84.05,85.45,82.2,84.2,4255011,17039
02-02-21,82.4,84.1,79.7,83.6,2404196,8287
01-02-21,76.9,81.15,74.5,79.85,2544260,6904
29-01-21,78.3,78.8,74.9,75.4,2622860,12835
28-01-21,75.4,77.85,74.5,77.2,3071837,6518
27-01-21,80.7,80.7,75.65,75.95,1603467,6614
25-01-21,84.9,84.9,78,79.2,2619411,9604
22-01-21,83,83,77.95,79.35,2362521,7964
21-01-21,85.45,85.7,82.3,82.95,1072998,3678
20-01-21,85.8,86.45,84.15,84.75,1710788,7864
19-01-21,83,85.7,82.55,85.45,2707593,9427
18-01-21,85.45,85.75,81,82.15,2063732,6253
15-01-21,86.4,87.95,84.35,85.5,3137579,13120
14-01-21,85.85,87.1,84.95,85.95,1718344,7541
13-01-21,87.2,87.7,83.8,85.85,3606986,14819
12-01-21,83.3,87.3,82.7,86.05,3841139,15847
11-01-21,83.3,84.1,82.15,83.3,2169846,9347
08-01-21,84.5,84.6,82.65,83.05,2370260,5717
07-01-21,83.1,83.6,81.5,81.85,2718025,10313
06-01-21,82.45,83.45,80.8,82.45,3382093,11924
05-01-21,77.6,82.2,77.6,81.15,4762932,12963
04-01-21,77.6,79.6,77.6,79.25,2314513,9017
01-01-21,75.9,77.7,75.8,77.35,1672380,6164
31-12-20,75.6,76.45,75.35,75.65,702868,2729
30-12-20,77.2,77.2,75.25,75.75,1291894,6394
29-12-20,78,79,76.25,76.55,2133249,9399
28-12-20,75.45,77.95,75.2,77.2,1532648,5149
24-12-20,74.55,75.6,74.25,74.4,1724025,7116
23-12-20,73,74.4,71.55,74.15,980685,4395
22-12-20,68,71.9,66.7,71.6,3625177,16166
21-12-20,76,76,66.4,69.1,4876853,20547
18-12-20,75.25,76.45,73.6,76.15,2553825,6922
17-12-20,76.45,76.7,74.7,75.2,1841616,2893
16-12-20,75.45,76.5,74.65,76.15,2098929,3914
15-12-20,73.45,75.4,72.55,75.15,2968170,8550
